Course,Category,Course Code, Course Price ,Discount to Upfront Payment Course Fees, Upfront Payment of Course Fee ,Discount to Payment Plan Course Fees, Payment Plan Course Fee ,Installment Frequency, Installment Amount ,Number of Installments, Final Installment ,,,,,,,
Certificate in Management Fundamentals,Management,MAN101," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Human Resource Management,Management,MAN102," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Workplace Health & Safety Management,Management,MAN103," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Business Operations Management,Management,MAN104," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Diploma in Business Operations Management,Management,MAN105," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
Diploma in Human Resource Management & Leadership,Management,MAN106," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
Diploma in Management & Team Leadership,Management,MAN107," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
Diploma in Project Management & Team Leadership,Management,MAN108," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
Certificate in Personal Training,"Personal Training, Wellness & Nutrition",TRA101," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Health & Wellness Coaching,"Personal Training, Wellness & Nutrition",TRA102," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Nutrition & Weight Management,"Personal Training, Wellness & Nutrition",TRA103," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Diploma in Personal Training & Nutrition Coaching,"Personal Training, Wellness & Nutrition",TRA104," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
Certificate in Animal Grooming,Animal Care & Wildlife Management,ANI101," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Animal Care & Welfare,Animal Care & Wildlife Management,ANI102," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
"Certificate in Dog Training, Psychology & Behaviour",Animal Care & Wildlife Management,ANI103," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Horse Care & Breeding,Animal Care & Wildlife Management,ANI104," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Pet Therapy & Companion Animal Care,Animal Care & Wildlife Management,ANI105," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Diploma in Veterinary Assistance & Animal Health,Animal Care & Wildlife Management,ANI106," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
Diploma in Wildlife Conservation & Management,Animal Care & Wildlife Management,ANI107," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
Diploma in Zoology & Wildlife Management,Animal Care & Wildlife Management,ANI108," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
Certificate in Events Management,"Events Management, Tourism and Hospitality",HOS101," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Events Management & Wedding Planning,"Events Management, Tourism and Hospitality",HOS102," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Hospitality Operations,"Events Management, Tourism and Hospitality",HOS103," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Diploma in Hospitality Management,"Events Management, Tourism and Hospitality",HOS104," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
Diploma in Hotel Operations Management,"Events Management, Tourism and Hospitality",HOS105," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
Diploma in Travel & Tourism Management,"Events Management, Tourism and Hospitality",HOS106," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
Certificate in Carpentry & Construction Skills,Trades & Technical Skills,TRA101," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Mechanics & Machine Systems,Trades & Technical Skills,TRA102," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
